Job,Company,Location,Date,Link
técnicas de farmacia,farmacias buen pastor,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/tecnicas-de-farmacia-farmacias-buen-pastor-1114914359.html
practicante profesional de mantenimiento mecánico planta,volcan compañia minera s.a.a.,"huayllay, pasco",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-profesional-de-mantenimiento-mecanico-planta-volcan-compania-minera-s.a.a.-1114914336.html
inspector de calidad san juan de lurigancho,grupo perú alfa,"san juan de lurigancho., lima",2022-01-13,https://www.bumeran.com.pe/empleos/inspector-de-calidad-san-juan-de-lurigancho-grupo-peru-alfa-1114914314.html
jefe de sección productos de gran consumo tt comas,hipermercados tottus,"comas, lima",2022-01-13,https://www.bumeran.com.pe/empleos/jefe-de-seccion-productos-de-gran-consumo-tt-comas-hipermercados-tottus-1114914280.html
mentor universitario,universidad continental sac,"arequipa, arequipa",2022-01-13,https://www.bumeran.com.pe/empleos/mentor-universitario-universidad-continental-sac-1114914270.html
practicante de producción,trupal s.a,"lurigancho, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-de-produccion-trupal-s.a-1114914265.html
practicante de organización y procesos de negocio,cooperativa de ahorro y crédito pacífico,"san isidro, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-de-organizacion-y-procesos-de-negocio-cooperativa-de-ahorro-y-credito-pacifico-1114814815.html
jefe de gestión de almacenes,stracon s.a.,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/jefe-de-gestion-de-almacenes-stracon-s.a.-1114914184.html
practicante desarrollo web wordpress,nick steve herrera saldaña,"arequipa, arequipa",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-desarrollo-web-wordpress-nick-steve-herrera-saldana-1114908562.html
practicante profesional de contratos,minsur s.a.,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-profesional-de-contratos-minsur-s.a.-1114914148.html
practicante profesional de planta,minsur s.a.,"tacna, tacna",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-profesional-de-planta-minsur-s.a.-1114914129.html
practicante de créditos y cobranzas,ferreyros,"santiago de surco, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-de-creditos-y-cobranzas-ferreyros-1114914033.html
practicante de inteligencia comercial trabajo remoto,confidencial,"santiago de surco, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-de-inteligencia-comercial-trabajo-remoto-1114913988.html
practicante profesional de comunicacion interna,minsur s.a.,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-profesional-de-comunicacion-interna-minsur-s.a.-1114913983.html
practicante profesional de helpdesk egresados clínica san borja,sanna,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-profesional-de-helpdesk-egresados-clinica-san-borja-sanna-1114913920.html
televendedor tarjetas scotiabank planilla completa fijo comisi,salesland internacional s.a.,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/televendedor-tarjetas-scotiabank-planilla-completa-fijo-comisiones-ilimitadas-salesland-internacional-s.a.-1114913898.html
practicante profesional de medición energía,enel,"san borja, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-profesional-de-medicion-energia-enel-1114913834.html
ejecutivo de ventas corporativas,tiendas ishop del peru sac,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/ejecutivo-de-ventas-corporativas-tiendas-ishop-del-peru-sac-1114913788.html
practicante profesional área compras,globalplast sac,"chilca, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-profesional-area-compras-globalplast-sac-1114811872.html
practicante profesional de seguridad en el trabajo,world vision,"jesús maría, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-profesional-de-seguridad-en-el-trabajo-world-vision-1114913691.html
practicante de planeamiento y distribución,aceros chilca s.a.c.,"cercado de lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-de-planeamiento-y-distribucion-aceros-chilca-s.a.c.-1114519309.html
practicante pre profesional de dataproyecto tecnologicos,adecco peru s.a.,"la molina, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-data-proyecto-tecnologicos-adecco-peru-s.a.-1114913598.html
practicante avanzado de marketing,top kids,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-avanzado-de-marketing-top-kids-1114913523.html
consultor funcional crm junior,grupo seidor,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/consultor-funcional-crm-junior-grupo-seidor-1114913520.html
project manager bank payments,confidencial,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/project-manager-bank-payments-1114913245.html
programador java,everis perú,"cercado de lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/programador-java-everis-peru-1114913353.html
instructores especialistas en maquinaria pesada,jhon gonzales,"trujillo, la libertad",2022-01-13,https://www.bumeran.com.pe/empleos/instructores-especialistas-en-maquinaria-pesada-jhon-gonzales-1114907440.html
project manager bank payments,confidencial,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/project-manager-bank-payments-1114913332.html
practicante de planeamiento distribucion,alicorp,"lima, lima",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-de-planeamiento-distribucion-alicorp-1114913323.html
practicante profesional área legal,volcan compañia minera s.a.a.,"yauli, junin",2022-01-13,https://www.bumeran.com.pe/empleos/practicante-profesional-area-legal-volcan-compania-minera-s.a.a.-1114913307.html
